Variable,AAFCO minimum ,AAFCO maximum,Homemade diet 1,Homemade diet 2,Commercial diet 1,Commercial diet 2
Protein (g/100 kcal),5.14,,6.6,5.37,6.77,8.04
Crude fat (g/100 kcal),1.43,,8.1,8.17,4.44,9.18
Calcium (g/100 kcal),0.17,0.71,0.12,0.15,0.02,0.35
Phosphorus (g/100 kcal),0.14,0.46,0.13,0.06,0.11,0.22
Calcium:phosphorus,1,,0.92,2.5,0.15,1.61
Potassium (g/100 kcal),0.17,,0.12,1.15,0.15,0.19
Sodium (g/100 kcal),0.017,,0.04,0.24,0.03,0.07
Magnesium (g/100 kcal),0.011,0.086,0.01,0.17,0.036,0.027
Iron (mg/100 kcal),2.3,86,3.9,2,19,29
Manganese (mg/100 kcal),0.14,,0.1,0.09,27.2,1.5
Zinc (mg/100 kcal),3.4,29,0.8,0.5,43,11
Vitamin A (IU/10 kcal),14.3,714.3,527,414.5,54.3,35.4
Vitamin D (IU/10 kcal),1.4,14.3,241,126.7,24.7,36.1
Vitamin E (IU/100 kcal),1,29,160,5,8,5
Calories (kcal/100 g),,,189,145,102,152
